gene_symbol	TCGA-OR-A5J1-01A-11R-A29S-07	TCGA-OR-A5J2-01A-11R-A29S-07	TCGA-OR-A5J3-01A-11R-A29S-07	TCGA-OR-A5J5-01A-11R-A29S-07	TCGA-OR-A5J6-01A-31R-A29S-07	TCGA-OR-A5J7-01A-11R-A29S-07	TCGA-OR-A5J8-01A-11R-A29S-07	TCGA-OR-A5J9-01A-11R-A29S-07	TCGA-OR-A5JA-01A-11R-A29S-07	TCGA-OR-A5JB-01A-11R-A29S-07	TCGA-OR-A5JC-01A-11R-A29S-07	TCGA-OR-A5JD-01A-11R-A29S-07	TCGA-OR-A5JE-01A-11R-A29S-07	TCGA-OR-A5JF-01A-11R-A29S-07	TCGA-OR-A5JG-01A-11R-A29S-07	TCGA-OR-A5JI-01A-11R-A29S-07	TCGA-OR-A5JJ-01A-11R-A29S-07	TCGA-OR-A5JK-01A-11R-A29S-07	TCGA-OR-A5JL-01A-11R-A29S-07	TCGA-OR-A5JM-01A-11R-A29S-07	TCGA-OR-A5JO-01A-11R-A29S-07	TCGA-OR-A5JP-01A-11R-A29S-07	TCGA-OR-A5JQ-01A-11R-A29S-07	TCGA-OR-A5JR-01A-11R-A29S-07	TCGA-OR-A5JS-01A-11R-A29S-07	TCGA-OR-A5JT-01A-11R-A29S-07	TCGA-OR-A5JV-01A-11R-A29S-07	TCGA-OR-A5JW-01A-11R-A29S-07	TCGA-OR-A5JX-01A-11R-A29S-07	TCGA-OR-A5JY-01A-31R-A29S-07	TCGA-OR-A5JZ-01A-11R-A29S-07	TCGA-OR-A5K0-01A-11R-A29S-07	TCGA-OR-A5K1-01A-11R-A29S-07	TCGA-OR-A5K2-01A-11R-A29S-07	TCGA-OR-A5K3-01A-11R-A29S-07	TCGA-OR-A5K4-01A-11R-A29S-07	TCGA-OR-A5K5-01A-11R-A29S-07	TCGA-OR-A5K6-01A-11R-A29S-07	TCGA-OR-A5K8-01A-11R-A29S-07	TCGA-OR-A5K9-01A-11R-A29S-07	TCGA-OR-A5KO-01A-11R-A29S-07	TCGA-OR-A5KT-01A-11R-A29S-07	TCGA-OR-A5KU-01A-11R-A29S-07	TCGA-OR-A5KV-01A-11R-A29S-07	TCGA-OR-A5KW-01A-11R-A29S-07	TCGA-OR-A5KX-01A-11R-A29S-07	TCGA-OR-A5KY-01A-11R-A29S-07	TCGA-OR-A5KZ-01A-11R-A29S-07	TCGA-OR-A5L3-01A-11R-A29S-07	TCGA-OR-A5L4-01A-11R-A29S-07	TCGA-OR-A5L5-01A-11R-A29S-07	TCGA-OR-A5L6-01A-11R-A29S-07	TCGA-OR-A5L8-01A-11R-A29S-07	TCGA-OR-A5L9-01A-11R-A29S-07	TCGA-OR-A5LA-01A-11R-A29S-07	TCGA-OR-A5LB-01A-11R-A29S-07	TCGA-OR-A5LC-01A-11R-A29S-07	TCGA-OR-A5LD-01A-11R-A29S-07	TCGA-OR-A5LE-01A-11R-A29S-07	TCGA-OR-A5LG-01A-11R-A29S-07	TCGA-OR-A5LH-01A-11R-A29S-07	TCGA-OR-A5LJ-01A-11R-A29S-07	TCGA-OR-A5LK-01A-11R-A29S-07	TCGA-OR-A5LL-01A-11R-A29S-07	TCGA-OR-A5LM-01A-11R-A29S-07	TCGA-OR-A5LN-01A-11R-A29S-07	TCGA-OR-A5LO-01A-11R-A29S-07	TCGA-OR-A5LP-01A-11R-A29S-07	TCGA-OR-A5LR-01A-11R-A29S-07	TCGA-OR-A5LS-01A-11R-A29S-07	TCGA-OR-A5LT-01A-11R-A29S-07	TCGA-OU-A5PI-01A-12R-A29S-07	TCGA-P6-A5OF-01A-11R-A29S-07	TCGA-P6-A5OG-01A-22R-A29S-07	TCGA-PA-A5YG-01A-11R-A29S-07	TCGA-PK-A5H8-01A-11R-A29S-07	TCGA-PK-A5H9-01A-11R-A29S-07	TCGA-PK-A5HA-01A-11R-A29S-07	TCGA-PK-A5HB-01A-11R-A29S-07
IGF1R	213.7368	4073.4116	428.9735	2546.8629	2685.8653	2087.0437	909.656	202.2882	1205.6025	4784.6719	1284.9873	770.0243	1423.0769	1066.8983	584.7105	868.6401	655.9572	645.3089	978.6234	2557.7586	1457.7712	2157.2244	470.1901	1841.3146	1980.0222	1854.3172	694.704	3301.0092	1391.9248	2072.1003	1466.3308	1490.4863	2118.273	1806.0894	972.8331	1061.1477	1304.5475	88.844	1985.4862	871.5919	490.1593	643.5453	756.4941	2234.8631	698.2584	1403.4417	1583.6193	227.2727	823.6607	527.7531	1271.9825	1155.1402	1280.1277	2075.2688	695.6522	1670.591	56.3094	348.711	2579.4627	1283.1305	1610.6531	908.1299	657.6271	2258.7109	694.582	798.8439	1308.025	1406.4611	2676.9874	402.5072	550.1701	1146.5222	1045.3657	1360.2081	779.9353	1795.128	2404.2572	1249.1731	5480.7538
RBM15	127.7618	117.5681	104.8734	122.3857	54.2091	117.128	98.218	96.5544	202.9598	328.3948	127.8626	74.6359	151.0181	92.673	110.708	97.1323	98.6167	138.0625	88.3251	82.3405	93.4053	162.9337	67.2838	102.3474	113.9475	105.1759	129.2835	100.0439	111.5615	138.3789	112.8463	88.7949	65.4197	129.5616	71.1514	120.4576	101.0565	123.6749	91.4369	124.0106	140.5904	129.0944	123.3414	83.6868	122.5867	110.8987	144.3276	131.5152	131.6964	78.028	103.2223	85.9813	105.7462	166.6667	118.0124	105.3736	72.5916	188.6024	91.0254	100.1024	95.3981	118.2985	54.2373	62.8084	91.8505	84.3931	161.4608	104.9006	100.4184	94.867	68.0272	103.7628	120.4537	246.6407	119.7411	114.9282	102.9399	51.2679	227.3456
BECN1	1049.7598	1233.5387	1300.631	476.8706	1842.9864	444.0794	1399.7058	908.451	1014.6882	1318.7435	775.9097	1626.2682	1140.0735	886.101	1283.2084	998.1684	868.0366	731.6781	1621.3813	1796.2328	1726.9298	851.1682	1570.2399	1102.6667	687.7321	1200.2795	1471.8795	936.8407	624.0895	1500.8598	1039.6507	1669.3235	1134.394	742.1464	711.423	1012.1522	1332.2095	1770.4543	441.3788	936.7722	860.1265	1554.2871	835.2383	1478.7158	1113.8491	1293.9675	511.2252	1065.5394	879.6875	1263.7134	1077.586	652.785	1182.8891	428.4409	787.8261	1082.252	1476.8928	218.0733	897.1659	615.4613	1595.8525	974.6489	847.3559	1537.7239	955.6356	618.9249	518.3998	1079.1845	1163.046	1010.1779	1508.801	1010.1995	779.0027	1178.0841	1269.6764	856.752	1674.019	876.8357	1113.1275
RB1	1519.2123	2482.6189	1144.7193	905.4996	953.9684	665.8644	928.7194	1920.2083	1085.6237	412.1644	856.2341	981.1893	658.9367	981.9481	723.3642	998.1499	303.436	1044.241	2094.4327	1904.3103	1027.4587	572.2442	1253.7076	1461.0329	160.9323	1224.6832	2232.0872	998.6836	1156.478	1257.5011	1505.2897	618.9218	1357.2515	811.0559	1217.3351	1417.4781	290.3078	1320.5452	1917.2714	1352.6825	81.537	644.5087	438.049	639.7995	1540.7047	1000.478	1966.5744	953.9394	777.9018	1539.28	1270.3441	1022.4299	1792.897	833.3333	1036.3798	1224.8514	1240.1628	514.2469	2310.6918	1168.9228	916.933	1345.0793	1466.1017	1207.1183	1547.0509	1253.1792	1559.3465	1396.7644	1163.1799	733.8641	1823.9796	1019.9544	2344.9355	1112.7005	1429.0337	1314.1786	1316.9327	1008.8203	188.4523
ESR1	177.2334	34.6262	6.5176	30.2091	46.944	12.8359	121.84	8.1595	18.4989	11.1396	98.6005	13.9563	55.4299	13.1287	8.0613	252.5439	443.1058	36.6133	5.6378	34.0517	28.0756	69.8287	30.2578	10.3286	109.8779	4.2639	79.4393	159.7192	152.4242	25.5262	5.3736	19.556	23.1867	18.1386	10.3493	1.6808	21.5893	59.5659	4.3541	74.3184	1.4058	113.6802	6.7277	9.2557	7.0204	140.0574	17.7089	140	8.9286	78.028	51.8842	42.9907	17.5579	59.1398	28.394	6.9938	53.5957	66.4858	115.0118	58.6964	6.9465	4.5306	162.7119	48.4522	13.8076	9.2486	49.4954	40.109	25.9414	8.1315	40.8163	34.7777	24.6382	8.6693	90.6149	292.3173	88.284	101.9846	8.8212
PTEN	961.0951	2957.7228	1185.0096	2121.6112	909.8187	2018.4517	1872.7725	1599.607	879.4926	1723.5157	1389.9491	1595.267	872.1719	1497.0557	967.8893	2439.408	901.3833	1604.119	895.4663	1688.3621	1994.447	2471.6733	1469.8915	1120.1878	1024.7873	1179.2017	1000.5192	1896.4458	2034.7008	1051.5002	961.2091	709.3023	944.8591	1489.0952	965.0712	900.3507	1416.169	1390.207	1506.5312	1899.2964	1112.4649	1719.6532	1125.7709	1162.7459	1429.9986	1420.6501	1479.1367	1480.6061	919.6429	914.3465	1665.7564	977.5701	2684.7566	1258.0645	916.5927	1733.5354	1396.8792	1499.3216	1512.9896	1243.9995	627.9602	1920.4631	1022.0339	1821.4446	1055.3805	972.2543	1417.5877	1202.3898	1104.6025	1984.7535	1631.8027	2112.3147	2181.8537	2442.5661	1264.4475	1075.5778	1352.5255	1547.409	1435.846
PIK3CA	542.2671	583.4114	192.5641	167.3122	216.2775	344.9659	265.23	242.0659	220.9302	481.6754	176.2087	305.8252	167.9864	225.5044	164.4498	229.4172	105.3101	157.132	223.6317	378.4483	325.029	247.6943	327.2619	344.6009	489.4562	163.449	412.7726	377.3585	138.8033	305.8665	211.5869	129.4926	120.0741	207.2986	99.6119	196.6541	252.6412	195.8607	92.8882	205.365	523.8988	228.3237	145.0196	116.8531	167.9492	183.5564	208.5224	208.4848	200.8929	250.399	171.491	190.6542	333.2003	112.9032	85.1819	218.6735	135.6852	137.0421	186.356	194.7446	166.252	650.3901	189.8305	573.6504	115.8637	228.9017	249.3993	293.9861	205.8577	430.2897	283.1633	453.8198	296.0501	449.5015	472.9542	220.4872	553.7817	318.0816	290.6977
CDKN1A	19081.172	645.4165	5932.7507	406.6615	4286.9897	1406.3377	4181.9312	1271.866	3147.9915	6471.2042	9557.888	5578.8835	18113.1222	6189.4005	684.6702	2262.7197	2588.5765	3622.4256	1898.9899	9892.2414	8802.2385	6501.9763	11397.233	7551.6432	15533.8513	6216.7476	8304.7767	9111.8912	7419.4908	18609.494	11018.6398	484.1438	8781.1442	12500.108	5822.7684	3561.6239	10730.3629	4869.258	8046.4441	3867.1944	2479.3814	2550.0963	3052.8873	5583.8797	12208.9915	2370.4589	738.9043	1073.3333	3963.1696	5571.2006	6553.7957	6844.8598	4422.9848	4537.6344	3937.8882	1939.62	5656.038	2895.5224	1014.195	9000.5688	5403.8847	937.327	4388.1356	3450.8748	6229.026	2754.9133	3419.0293	8909.056	11894.5607	3106.2172	5278.0612	4016.5336	9775.1271	2887.733	5417.938	22662.7108	3503.7948	13205.6229	1488.7731
GATA3	845.8213	922.0236	21.9227	12.3935	2.2354	738.8688	50.9739	388.2574	19.0275	36.5378	3.8168	16.9903	669.1176	15.0594	153.7015	31.4524	185.1852	43.4783	131.548	367.2414	71.8087	848.4848	21.499	7.5117	329.2638	1.8951	21.8069	30.2764	8.432	1.3435	8.7322	6.871	5.7967	482.8331	12.9366	26.8929	261.3689	2.0192	17.4165	390.0616	9.8407	315.9923	8.2228	230.2352	174.4296	124.761	525.5119	44.2424	178.5714	0	56.2534	5.6075	255.7861	21.5054	26.6193	78.7971	582.0896	648.5753	227.5635	130.5881	20.8394	73.9995	28.8136	1.1964	5.403	20.8092	22.5853	14.545	16.7364	50.8216	33.1633	137.4002	34.8064	34.6771	26.3523	0.6246	8.0258	11.0254	52.5261
PEA15	3623.9193	11211.6417	2547.7707	4478.6987	2417.0552	3874.4485	6978.0274	6499.0621	4226.7442	4276.7071	4089.6947	2527.9126	5933.2579	2840.4286	4935.1068	3236.8178	3332.8826	7047.2921	2354.7099	4006.4569	4522.3302	2772.0641	2779.7352	2336.6197	6937.0958	2541.7506	3973.001	2146.5555	3697.7461	4255.7053	1731.6541	10225.1586	2766.6732	4075.1458	2054.3338	1517.7661	5525.4938	6073.1954	5220.6096	6543.9754	2964.3861	5572.2543	3287.6023	3958.7351	7805.0493	1996.1759	9654.0077	4577.5697	6869.4196	2476.3256	3770.071	2418.6916	5409.0184	3483.871	3615.7941	2652.5236	3947.0828	6396.2008	9520.7636	5415.5386	1838.4971	3580.1611	3569.4915	25518.1576	3035.2694	3634.6821	1848.1499	4731.5449	2364.8536	1466.3663	2973.6395	6291.9042	5533.4376	6205.0238	3335.6449	1750.1562	1656.8089	2489.5259	4073.7771
SMAD3	989.4332	1256.6094	524.9593	1841.983	407.4065	877.6574	2392.0431	1530.591	1052.3256	1384.8725	722.0102	237.8641	290.724	510.474	369.7434	294.1721	476.1267	783.3715	964.0592	357.7586	2347.0116	654.3698	349.9552	267.6056	1747.3178	379.486	259.0862	930.6713	755.6348	1072.996	649.5382	1366.8076	673.2431	955.3012	250.9702	584.3596	932.0165	507.3195	567.4891	441.9525	535.1453	386.3198	814.0534	1066.3324	1076.2792	1258.6042	1218.373	1164.2424	542.4107	314.9495	470.2348	254.2056	794.0942	360.2151	375.3327	989.859	734.7354	951.1533	602.7357	1013.3091	261.187	1458.8472	749.1525	1312.9954	430.4367	405.7803	1372.8976	293.9861	465.272	300.864	465.1361	559.8632	718.0289	649.7616	626.9071	91.8176	2869.057	667.0342	1514.4346
RAF1	1968.78	3530.2632	1662.5685	1680.8675	1695.5712	1632.9723	2255.2839	1899.1296	2085.0951	1202.1834	2253.1807	2563.1068	1356.3348	1290.4721	1457.4768	1703.0527	1414.5471	1725.4005	1874.0897	2379.7414	2193.1358	1550.7246	2886.0356	2699.061	1688.8642	1648.7031	1339.0447	1361.5621	2374.5743	2711.5987	1794.1226	2541.6438	1605.6807	1480.4578	1596.3777	1682.4849	2197.5195	1795.5578	1252.5399	1233.949	1641.0497	1910.4046	1311.1568	2009.2557	1650.3308	1686.9025	2046.7072	3141.8182	1241.0714	1798.9005	1565.811	1143.9252	2497.6057	1145.1613	1294.5874	1727.9403	1442.3338	2025.7802	2238.7325	2281.8792	1583.3303	2258.7465	2970.7458	1720.3529	1799.7899	2052.0231	1667.9481	1558.5228	1493.3891	1390.4794	1744.6599	1539.3387	1392.2566	2059.8179	1627.3694	1516.5522	2402.8614	2767.9162	1975.5413
EIF4G1	9483.1892	17078.373	10783.5876	5816.4214	7865.9079	13821.9013	7317.4472	9494.9679	7644.2918	9045.7837	7087.1501	12839.8058	7414.0271	8238.2469	10892.9195	8781.6836	6715.7519	5396.6438	10820.7658	8948.7069	5502.8163	7270.0922	15688.6633	18534.7418	10942.6563	13704.6074	16615.784	9651.6016	7550.5108	13110.1657	12680.4366	6860.9937	7419.7522	7878.212	5223.8034	9471.3311	9737.2531	9456.3352	4091.4369	8520.2287	11257.732	10879.5761	6872.7341	11940.2237	11185.0952	8570.2677	8878.3619	7391.5152	5978.7946	8139.0317	6220.0983	6261.6822	11427.7733	3913.9785	6125.1109	7479.1934	7210.9905	4324.2877	5979.999	8849.0502	8792.3691	6358.4193	11311.8644	11113.5038	10601.2307	9114.4509	6570.3988	10291.7162	9702.9289	14900.2202	8613.9456	11842.6454	7682.0493	8928.4785	9491.9094	8018.7383	8918.0843	14484.5645	9854.0497
AXL	357.829	356.3279	363.2055	185.9024	257.6329	192.9402	825.114	130.2124	266.9133	2673.9445	282.4427	1368.3252	277.1493	216.6232	190.7833	367.2525	124.0518	764.3021	239.6054	220.2586	642.4992	180.9398	895.7898	300.4695	219.0159	108.966	1725.8567	310.2238	313.2804	235.1097	195.466	1277.4841	229.383	243.5759	375.1617	95.8058	102.4345	309.9445	169.8113	125.3298	146.6729	705.2023	174.9206	67.1037	82.0845	126.673	410.404	727.2727	168.5268	213.513	561.988	162.6168	764.166	655.914	420.5856	112.3674	244.9118	678.4261	66.4239	526.4475	257.4822	327.7121	700	80.1555	187.303	460.1156	203.2677	581.3608	279.4979	147.7215	91.8367	232.6112	299.5698	1759.8613	657.4202	251.7177	205.5308	678.0595	323.1756
ATM	1872.2382	835.8607	780.9213	735.8637	1023.8255	695.9487	570.6589	444.0142	464.0592	689.3171	808.5242	632.2816	373.3032	895.8394	508.3972	634.5976	673.8063	1184.5919	661.9685	824.1379	1094.9481	425.9991	892.2066	922.5352	1186.4595	1068.3406	1511.4226	942.0799	817.2531	922.9736	1348.1108	559.1966	813.1916	658.1732	842.1734	997.2771	712.4483	584.0485	796.807	930.0792	850.0469	708.0925	826.0138	838.7968	833.2658	911.0899	921.7488	1046.6667	946.4286	691.612	1228.2906	1267.2897	1244.6129	1043.0108	662.8217	787.9706	609.905	1401.6282	1044.9469	1101.5812	779.3931	1043.0405	1040.678	1522.3568	638.7513	1060.1156	847.6694	1030.4939	1424.2678	675.5887	580.7823	621.4367	1007.0395	1661.4651	972.7231	1262.336	2196.2837	659.8677	297.514
MAPK1	3134.4861	4155.9508	1929.7882	1508.9078	1581.0056	1468.5118	2222.1301	1800.5353	1915.4334	2321.0427	878.4987	1796.1165	1414.0271	1927.2131	1576.7836	1120.259	3264.1678	1244.8513	3600.1879	4042.6724	2213.1127	2363.1972	1937.2947	1538.0282	3026.6371	3140.5898	1427.8297	2412.9004	850.981	7535.6023	2808.3963	2503.6998	2295.4858	1901.1013	1909.4437	2342.4806	1688.5622	3080.7673	1499.2743	2159.1909	2496.7198	2671.4836	1320.8746	2711.531	2776.2927	1268.6424	2778.0852	2068.4848	1681.9196	2364.249	1975.4233	687.8505	3517.5579	1150.5376	1873.1145	2418.4637	1349.3894	1774.7626	3861.1986	1738.1413	3188.8894	2372.5145	1747.4576	3245.7006	1251.0881	1243.9306	2538.2028	2803.6662	2295.3975	2199.5595	1474.4898	2346.0661	2759.0927	2033.8101	2794.2672	919.4254	2126.145	2039.14	6006.8164
TP53BP1	801.633	1580.7269	926.6775	641.3633	837.7262	914.1596	912.557	1254.867	1458.2452	896.5133	1438.2952	1202.6699	646.4932	869.582	1950.8263	714.1536	568.4962	1588.8635	1678.6469	554.3103	550.1737	662.2749	1360.8042	1818.3099	1740.2886	1446.4053	1775.7009	1423.4313	874.3311	1523.9588	1250.7137	723.0444	1098.8852	820.5571	1260.0259	1019.1276	661.4607	1037.3549	609.5791	350.4837	788.1912	689.7881	1239.3945	1792.904	2498.7174	920.6501	1344.1063	941.8182	904.0179	1217.9464	810.4861	521.4953	1676.3767	483.871	582.9636	1045.8095	1065.8073	527.8155	1143.9677	997.3837	1106.3399	988.6735	644.0678	1796.3212	1869.4282	1490.1734	2096.1076	1919.0635	1309.6234	1059.1225	670.068	1164.7662	1097.7708	1055.9168	1018.9552	1191.7552	995.8999	1475.1929	2063.352
NEK7	879.4428	2243.4565	1980.7436	762.9744	1940.9093	1052.9483	762.9507	1155.9328	916.4905	705.8037	1094.1476	1049.7573	717.1946	1382.759	1075.3728	1802.9602	434.6274	2562.1663	778.4825	1815.9483	1583.5715	2073.7813	1504.5287	2358.6854	964.4839	2984.2473	4054.5171	1105.7481	1856.3321	2034.4828	4981.3602	417.5476	1908.7644	860.2894	851.229	1637.6635	915.0207	1089.8536	1271.4078	1705.8047	1950.328	814.0655	1489.815	812.5723	916.4304	999.522	890.3154	990.303	764.5089	881.0073	1807.7553	1816.8224	956.1053	2456.9892	942.3248	878.8903	637.0421	1432.8358	1536.976	2103.0599	1537.9468	641.8324	555.9322	3191.2666	779.8289	1641.6185	925.036	1827.3857	3020.9205	2051.838	1510.2041	1381.4139	2339.4603	887.733	1587.1475	1692.6921	1932.1295	906.8357	857.6584
BIRC2	1170.9894	1087.102	914.2349	887.684	1180.8642	2002.4067	822.6274	614.0043	1029.5983	983.402	525.4453	726.9417	1160.0679	1042.9578	856.1064	470.8603	834.8951	720.8238	743.2464	1485.3448	1058.2339	1080.3689	842.4405	682.6291	977.0625	563.7806	644.8598	868.8021	573.3744	1660.5464	703.9463	1150.6342	577.1838	1581.5159	633.8939	721.6252	1338.0799	659.7678	496.3716	839.4899	943.299	1245.6647	1139.2263	1071.3459	846.2265	867.1128	1031.544	984.8485	708.7054	566.0578	805.5707	719.6262	1151.6361	354.8387	344.2768	1094.7663	620.7598	563.0936	1858.64	845.8651	703.9082	849.7357	515.2542	1085.6886	574.516	435.8382	1093.7049	733.4225	713.8075	1156.0224	792.517	1025.6556	1368.4005	3046.814	730.0046	681.4491	2761.5807	565.6009	852.8468
NOTCH1	187.3199	667.1585	338.3202	451.5879	279.4283	425.9928	1469.9544	558.5875	227.2727	2297.4268	326.3359	668.0825	188.3484	381.504	613.731	566.1425	1115.1272	456.1404	266.8546	63.7931	709.4487	243.3026	442.7192	401.8779	247.8727	244.9366	491.1734	384.3791	175.1257	215.8531	436.6079	239.9577	547.3723	124.3792	126.7788	346.2456	143.3165	178.6976	220.6096	120.4925	265.2296	637.7649	151.7473	180.1003	199.271	191.6826	599.8893	601.8182	119.4196	473.1335	507.9192	343.9252	194.7326	290.3226	378.882	289.078	343.962	112.6187	93.4855	273.0065	245.4417	902.0891	735.5932	136.9822	234.1288	319.0751	325.8049	733.8633	475.3138	233.7794	260.2041	526.7959	621.0403	2498.4829	798.4281	207.3704	947.396	1132.8556	508.4202
MAPK9	889.5293	1750.2343	1466.4494	1483.3462	751.1034	806.6586	684.6249	1027.7602	1043.3404	997.2151	2319.9746	1792.4757	656.1086	1666.5701	1968.0236	1235.8927	1186.9701	1498.8558	2013.6246	1163.3621	989.6647	998.6825	1340.8978	2204.2254	1367.7395	2475.8972	1951.7134	3590.1711	1975.0284	986.1173	2680.1008	1000	1890.5462	924.2064	2196.6365	2006.8801	644.9242	873.2963	3146.5893	583.1135	1613.8707	657.9961	2226.8735	833.012	1853.3819	913.0019	1254.2335	728.4848	787.9464	2361.4116	1823.5937	1295.3271	1426.9753	1236.5591	1700.976	1950.8101	1039.3487	540.0271	765.7203	964.1679	1844.9804	1495.5953	2620.339	2201.2861	2401.9211	1322.5434	1340.7016	1885.5658	1948.954	1846.5187	1903.0612	1740.5929	1953.07	803.6411	2419.7873	2167.3954	1117.683	1888.6439	2394.9479
YWHAZ	11538.4246	10031.9387	12205.0067	14353.2146	11155.3384	11113.919	9000.4144	14603.8508	13775.8985	21035.9808	20409.0331	8977.5485	10613.6878	14435.3702	8782.4802	14935.2451	10456.4926	10903.8902	13389.2412	24860.3448	9364.8302	10618.7967	12292.6247	17203.7559	13727.34	17269.6909	14984.9429	8643.2646	17752.5539	10871.9212	23090.5122	7996.3002	14616.7462	13984.8845	5376.4554	17931.9386	14564.079	11551.2367	7972.4238	19481.5303	25111.059	12606.9364	12524.7617	9884.3039	14602.4031	12479.4455	11639.181	15319.3939	9410.7143	13779.7482	16740.0328	9887.8505	9912.6097	19715.0538	13719.6096	8229.3974	10238.1275	13207.5984	14781.17	12766.2382	12140.564	18978.6056	13000	9390.16	10875.5816	16243.9306	8596.8284	7811.1261	22583.2636	6619.0073	8799.3197	10182.4401	15145.0919	13830.5158	7410.5409	12055.5903	6528.134	24735.3914	11425.421
VASP	1256.9645	994.8997	1495.4822	3286.5995	962.3512	1149.6189	1859.0966	1323.883	1828.2241	3254.0938	3292.6209	1044.9029	1063.3484	1956.9457	1743.9205	1875.1156	1009.3708	2276.8879	1061.7806	1709.0517	2828.0761	697.848	1483.826	1040.8451	1094.7096	713.0167	1477.1547	2317.2444	3996.1083	988.3565	1210.4114	728.8584	1953.4816	3462.751	1236.74	1066.7503	1489.6647	1108.531	3969.521	781.0026	1596.5323	1587.6686	908.2415	1416.1203	1932.2263	2678.7763	4525.0692	1447.2727	706.4732	917.8932	1978.7002	1429.9065	1026.3368	3924.7312	1734.6939	1353.5377	1662.8223	1248.3039	626.7221	2246.8434	801.1587	2050.8432	2149.1525	585.0157	1892.2407	2003.4682	1527.1504	1169.7736	1862.7615	1334.9145	1549.3197	3396.8073	2464.607	4710.8799	1039.2973	1306.6833	970.0776	2111.3561	1505.2125
XRCC5	4035.0624	3982.4171	3291.3642	2010.8443	6416.2337	6913.3574	4833.4024	3489.5571	3890.0634	8054.3611	4281.1705	2195.3883	5084.8416	2965.5372	5000.1344	3700.2775	3895.5823	2868.8024	4023.4907	5325.8621	4780.9496	4568.2916	2999.5023	2986.385	4019.2379	3342.4138	4382.1391	2960.509	2522.4582	5205.5531	3934.8447	2123.1501	3352.138	4261.7145	2998.7063	3939.2445	4247.1291	4709.2378	2316.4006	5615.6552	3596.5323	4269.7495	3300.3177	5447.3583	3634.3999	3430.6883	3817.5982	5960	2524.5536	4309.2747	3958.4926	4495.3271	4445.7302	3091.3978	3149.9556	3397.1325	5061.7368	5192.673	5700.1574	3699.2379	3582.9853	2713.8183	3347.4576	4481.5313	3950.1726	2168.7861	2894.2816	3482.8754	3943.0962	2850.0762	2949.8299	3243.4436	2874.8533	5535.3273	3402.6815	3387.8826	4505.2779	3298.2359	7663.5926
ITGA2	253.6023	973.1576	936.1576	39.5043	114.5656	509.0253	104.0199	174.7498	184.4609	2767.517	232.8244	265.1699	139.7059	1865.8172	65.0275	591.1193	499.7769	217.3913	293.1642	2010.7759	108.523	177.8656	1075.3459	175.5869	2510.5438	1014.3314	232.6064	3225.9763	150.4784	5649.7985	1017.6322	1092.4947	306.396	206.4349	49.1591	105.3304	410.1975	1805.6537	66.7634	836.8514	270.8529	64.5472	713.1377	153.4902	108.0059	53.0593	507.803	272.7273	600.4464	271.6794	1117.4222	674.7664	1374.7007	177.4194	629.1038	375.8014	469.4708	13.5685	750.3444	356.7285	290.3621	701.2333	210.1695	6316.734	210.7159	467.052	389.2359	1316.5463	597.4895	711.5026	622.449	3513.1129	420.8056	1829.2154	2285.252	81.1993	246.0089	94.8181	148.757
CASP7	79.2507	274.1913	277.8848	346.2432	438.1436	592.0578	920.0166	225.0669	332.4524	787.791	298.9822	428.3981	503.3937	306.9794	325.1377	309.8982	221.776	458.4287	159.7369	941.3793	597.1463	471.2341	300.1891	250.7042	372.549	273.3625	206.6459	321.1935	201.7188	721.451	548.1108	482.5581	266.6473	305.7655	155.2393	340.643	378.0432	289.7527	394.775	263.4125	362.2306	581.8882	241.4502	135.7501	245.1735	398.1836	85.8882	615.1515	145.0893	203.5822	328.2359	201.8692	233.4397	198.9247	166.8146	356.2187	434.1927	109.905	560.2982	148.3335	148.6543	244.6514	215.2542	321.8185	264.1453	257.8035	223.9308	182.9149	420.9205	145.6886	179.4218	500.5701	282.7532	868.2271	224.6879	185.5091	397.4527	270.6725	848.4362
BAP1	3104.2267	5964.9691	2914.5312	2270.3331	2959.705	7223.4256	2289.2665	2133.7159	2234.1438	1067.6172	1659.0331	3586.165	4582.5792	1756.5402	2442.5635	1838.1129	2166.8898	1909.9924	3761.8041	2381.4655	2820.5173	1965.7444	3274.6093	3672.3005	5788.7532	2281.6534	3227.9335	1634.9276	2219.5557	1935.0649	1657.7666	2721.4588	2120.7573	2570.5031	2075.0323	2779.4897	2626.5503	5694.0939	1896.9521	2830.2551	1761.9494	2736.0308	1771.6315	3558.4265	1873.9031	2551.1472	2166.6851	3022.4242	3661.8304	1514.4529	1720.3714	1581.3084	2455.3073	1387.0968	2755.102	2059.4475	3554.2741	3431.479	5370.4979	3369.355	4025.2434	2813.9945	3420.339	2579.9312	1537.4456	2285.5491	2417.5877	2034.1015	1843.5146	2699.6442	1562.9252	1557.0125	2265.1545	2022.9736	1601.9417	1659.5878	2342.4932	3111.3561	330.3929
